"Name","Agent","State","Notes","User","Tags","Created","Runtime","Sweep","batch_size","beta1","beta2","corr_thr","drop_correlated","dropout_prob","gamma","learning_rate","minority_oversample","model","momentum","num_buckets","num_epochs","num_trials","optimizer","patience","random_state","scaling_method","scheduler","seed","step_size","use_feature_scaling","use_scheduler","weight_decay","BS","ECE","FPR","NPV","PPV","TNR","TPR","accuracy","auroc","average_precision","confusion_matrix.fn","confusion_matrix.fp","confusion_matrix.tn","confusion_matrix.tp","dev_accuracy","dev_auroc","dev_balanced_accuracy","dev_ece","dev_f1","dev_loss","f1_score","loss","precision","recall","sensitivity","specificity","train_loss","weighted_accuracy"
"lemon-sweep-38","","finished","-","","","2024-04-30T21:09:43.000Z","38","unimodal_fox_stats (baal)","1024","0.9","0.999","0.95","yes","0.23420212038821583","0.571208135388657","0.364654919080181","no","ShallowANN","0.8033198577576715","20","74","10000","AdamW","1","551","MinMaxScaler","reduce","106","1","no","no","0.0001","0.11452824259227166","0.04554077348401472","0.06422018348623854","0.8607594936708861","0.8082191780821918","0.9357798165137616","0.6413043478260869","0.8483870967741935","0.8851216593538094","0.8093078550036978","33","14","204","59","0.8313609467455622","0.881422305764411","0.8186255864080132","0.0658491860479998","0.7323943661971831","0.4147189890844582","0.7151515151515152","0.3817665838426159","0.8082191780821918","0.6413043478260869","0.6413043478260869","0.9357798165137616","0.391525000333786","0.834489335876539"
"clean-sweep-37","","finished","-","","","2024-04-30T21:09:20.000Z","40","unimodal_fox_stats (baal)","1024","0.9","0.999","0.95","yes","0.23420212038821583","0.571208135388657","0.364654919080181","no","ShallowANN","0.8033198577576715","20","74","10000","AdamW","1","551","MinMaxScaler","reduce","753","1","no","no","0.0001","0.1166245464860958","0.05572793522188741","0.03211009174311927","0.8406374501992032","0.8813559322033898","0.9678899082568808","0.5652173913043478","0.8483870967741935","0.8813821300358995","0.8144084200791853","40","7","211","52","0.8224852071005917","0.8806390977443609","0.8196751568844591","0.07660768194311468","0.7","0.4174984361998429","0.6887417218543046","0.3867345748409149","0.8813559322033898","0.5652173913043478","0.5652173913043478","0.9678899082568808","0.3756598234176636","0.8609966912012965"
"blooming-sweep-36","","finished","-","","","2024-04-30T21:09:18.000Z","42","unimodal_fox_stats (baal)","1024","0.9","0.999","0.95","yes","0.23420212038821583","0.571208135388657","0.364654919080181","no","ShallowANN","0.8033198577576715","20","74","10000","AdamW","1","551","MinMaxScaler","reduce","377","1","no","no","0.0001","0.11601825202916398","0.05602905481092395","0.05963302752293578","0.8686440677966102","0.8243243243243243","0.9403669724770642","0.6630434782608695","0.8580645161290322","0.8721579577183884","0.7935994657328065","31","13","205","61","0.8195266272189349","0.8813831453634086","0.804340475888593","0.08052474172157649","0.7136150234741784","0.41195556821202384","0.7349397590361446","0.38619005756993446","0.8243243243243243","0.6630434782608695","0.6630434782608695","0.9403669724770642","0.3902978003025055","0.8464841960604672"
"fallen-sweep-35","","finished","-","","","2024-04-30T21:09:17.000Z","39","unimodal_fox_stats (baal)","1024","0.9","0.999","0.95","yes","0.23420212038821583","0.571208135388657","0.364654919080181","no","ShallowANN","0.8033198577576715","20","74","10000","AdamW","1","551","MinMaxScaler","reduce","150","1","no","no","0.0001","0.1191804302327725","0.0768703278033964","0.08256880733944955","0.8771929824561403","0.7804878048780488","0.9174311926605504","0.6956521739130435","0.8516129032258064","0.8763960909453531","0.7810868009434453","28","18","200","64","0.8106508875739645","0.8825187969924813","0.7877503852080123","0.062426520169839336","0.7241379310344828","0.41382729795557505","0.735632183908046","0.3934321003575479","0.7804878048780488","0.6956521739130435","0.6956521739130435","0.9174311926605504","0.38126882910728455","0.8288403936670945"
"usual-sweep-34","","finished","-","","","2024-04-30T21:09:02.000Z","37","unimodal_fox_stats (baal)","1024","0.9","0.999","0.95","yes","0.23420212038821583","0.571208135388657","0.364654919080181","no","ShallowANN","0.8033198577576715","20","74","10000","AdamW","1","551","MinMaxScaler","reduce","639","1","no","no","0.0001","0.11496144601415556","0.06937197965960351","0.05045871559633028","0.8661087866108786","0.8450704225352113","0.9495412844036696","0.6521739130434783","0.8612903225806452","0.8758974870362984","0.8118560329678446","32","11","207","60","0.8224852071005917","0.8821663533834587","0.8100464876033058","0.0820286467935912","0.7142857142857143","0.4100458269288554","0.7361963190184049","0.38338623046875","0.8450704225352113","0.6521739130434783","0.6521739130434783","0.9495412844036696","0.3758081793785095","0.8555896045730449"
"true-sweep-33","","finished","-","","","2024-04-30T21:08:39.000Z","37","unimodal_fox_stats (baal)","1024","0.9","0.999","0.95","yes","0.23420212038821583","0.571208135388657","0.364654919080181","no","ShallowANN","0.8033198577576715","20","74","10000","AdamW","1","551","MinMaxScaler","reduce","364","1","no","no","0.0001","0.11710785301129492","0.06072262621694996","0.07339449541284404","0.8744588744588745","0.7974683544303798","0.926605504587156","0.6847826086956522","0.8548387096774194","0.8760470682090148","0.807790035022521","29","16","202","63","0.8017751479289941","0.8795817669172933","0.7797265040255694","0.07034772299450533","0.6968325791855203","0.42044297618978826","0.7368421052631579","0.38792889502740674","0.7974683544303798","0.6847826086956522","0.6847826086956522","0.926605504587156","0.3947233259677887","0.8359636144446272"
"mild-sweep-32","","finished","-","","","2024-04-30T21:08:32.000Z","39","unimodal_fox_stats (baal)","1024","0.9","0.999","0.95","yes","0.23420212038821583","0.571208135388657","0.364654919080181","no","ShallowANN","0.8033198577576715","20","74","10000","AdamW","1","551","MinMaxScaler","reduce","838","1","no","no","0.0001","0.11821731306040233","0.0732198521014183","0.09174311926605504","0.868421052631579","0.7560975609756098","0.908256880733945","0.6739130434782609","0.8387096774193549","0.8794375747905863","0.7985773412273344","30","20","198","62","0.7928994082840237","0.8759398496240602","0.7682721712538226","0.0882348326536325","0.7008547008547008","0.42357116338063977","0.7126436781609196","0.39074625815114666","0.7560975609756098","0.6739130434782609","0.6739130434782609","0.908256880733945","0.38112345337867737","0.8122593068035944"
"worldly-sweep-31","","finished","-","","","2024-04-30T21:08:31.000Z","42","unimodal_fox_stats (baal)","1024","0.9","0.999","0.95","yes","0.23420212038821583","0.571208135388657","0.364654919080181","no","ShallowANN","0.8033198577576715","20","74","10000","AdamW","1","551","MinMaxScaler","reduce","852","1","no","no","0.0001","0.11539101484888424","0.05151699646826715","0.0779816513761468","0.8739130434782608","0.7875","0.9220183486238532","0.6847826086956522","0.8516129032258064","0.875648185081771","0.8036254357241989","29","17","201","63","0.8195266272189349","0.8784461152882206","0.799507231280798","0.05515459303319805","0.726457399103139","0.4156724376791328","0.7325581395348837","0.3840558451990927","0.7875","0.6847826086956522","0.6847826086956522","0.9220183486238532","0.3877681791782379","0.8307065217391304"
"spring-sweep-30","","finished","-","","","2024-04-30T21:08:21.000Z","34","unimodal_fox_stats (baal)","1024","0.9","0.999","0.95","yes","0.23420212038821583","0.571208135388657","0.364654919080181","no","ShallowANN","0.8033198577576715","20","74","10000","AdamW","1","551","MinMaxScaler","reduce","423","1","no","no","0.0001","0.1149798753775564","0.05686257039347005","0.05045871559633028","0.8553719008264463","0.8382352941176471","0.9495412844036696","0.6195652173913043","0.8516129032258064","0.875","0.7999472273059477","35","11","207","57","0.8224852071005917","0.8836936090225564","0.8196751568844591","0.07494140694127278","0.7","0.40991906160433617","0.7125","0.38361447241998486","0.8382352941176471","0.6195652173913043","0.6195652173913043","0.9495412844036696","0.3797277212142944","0.8468035974720467"
"fallen-sweep-29","","finished","-","","","2024-04-30T21:07:58.000Z","35","unimodal_fox_stats (baal)","1024","0.9","0.999","0.95","yes","0.23420212038821583","0.571208135388657","0.364654919080181","no","ShallowANN","0.8033198577576715","20","74","10000","AdamW","1","551","MinMaxScaler","reduce","409","1","no","no","0.0001","0.11557663217573136","0.04746383774665093","0.07339449541284404","0.8669527896995708","0.7922077922077922","0.926605504587156","0.6630434782608695","0.8483870967741935","0.8830773833266852","0.812279404148691","31","16","202","61","0.8224852071005917","0.8805607769423559","0.8032608695652175","0.0636529224158744","0.7297297297297297","0.4141170343703772","0.7218934911242604","0.3842461616762223","0.7922077922077922","0.6630434782608695","0.6630434782608695","0.926605504587156","0.3919748067855835","0.8295802909536816"
"confused-sweep-28","","finished","-","","","2024-04-30T21:07:50.000Z","37","unimodal_fox_stats (baal)","1024","0.9","0.999","0.95","yes","0.23420212038821583","0.571208135388657","0.364654919080181","no","ShallowANN","0.8033198577576715","20","74","10000","AdamW","1","551","MinMaxScaler","reduce","690","1","no","no","0.0001","0.11503957161765646","0.05145832415549985","0.045871559633027525","0.8630705394190872","0.855072463768116","0.9541284403669724","0.6413043478260869","0.8612903225806452","0.8828779417630633","0.8135855982580915","33","10","208","59","0.8254437869822485","0.881735588972431","0.8114830311483031","0.06440716823177225","0.7230046948356808","0.4127867207724667","0.7329192546583851","0.3836714713804183","0.855072463768116","0.6413043478260869","0.6413043478260869","0.9541284403669724","0.3763313293457031","0.8590715015936016"
"worthy-sweep-27","","finished","-","","","2024-04-30T21:07:46.000Z","39","unimodal_fox_stats (baal)","1024","0.9","0.999","0.95","yes","0.23420212038821583","0.571208135388657","0.364654919080181","no","ShallowANN","0.8033198577576715","20","74","10000","AdamW","1","551","MinMaxScaler","reduce","853","1","no","no","0.0001","0.1140687913999888","0.05631850400278648","0.06880733944954129","0.8675213675213675","0.8026315789473685","0.9311926605504588","0.6630434782608695","0.8516129032258064","0.8748504188272835","0.8081931981400726","31","15","203","61","0.8165680473372781","0.8858474310776943","0.7980769230769231","0.06906941956316935","0.7155963302752294","0.40925823866262945","0.7261904761904762","0.3814972416047127","0.8026315789473685","0.6630434782608695","0.6630434782608695","0.9311926605504588","0.3851825296878814","0.8350764732343681"
"swift-sweep-26","","finished","-","","","2024-04-30T21:07:40.000Z","35","unimodal_fox_stats (baal)","1024","0.9","0.999","0.95","yes","0.23420212038821583","0.571208135388657","0.364654919080181","no","ShallowANN","0.8033198577576715","20","74","10000","AdamW","1","551","MinMaxScaler","reduce","814","1","no","no","0.0001","0.1151964876232265","0.04581709350309067","0.05504587155963303","0.8619246861924686","0.8309859154929577","0.944954128440367","0.6413043478260869","0.8548387096774194","0.8786896689270045","0.8039158135619153","33","12","206","59","0.8195266272189349","0.8821663533834585","0.8056850750737905","0.08315122039360405","0.7109004739336493","0.41218232826368345","0.7239263803680982","0.3835009667181199","0.8309859154929577","0.6413043478260869","0.6413043478260869","0.944954128440367","0.383493036031723","0.8464553008427131"
"bumbling-sweep-25","","finished","-","","","2024-04-30T21:07:12.000Z","39","unimodal_fox_stats (baal)","1024","0.9","0.999","0.95","yes","0.23420212038821583","0.571208135388657","0.364654919080181","no","ShallowANN","0.8033198577576715","20","74","10000","AdamW","1","551","MinMaxScaler","reduce","626","1","no","no","0.0001","0.1157204213753762","0.05522250379285502","0.05963302752293578","0.8577405857740585","0.8169014084507042","0.9403669724770642","0.6304347826086957","0.8483870967741935","0.8759972078181093","0.8119849127401828","34","13","205","58","0.8254437869822485","0.8823229949874687","0.8162168093043669","0.08166261096677835","0.714975845410628","0.4090948161288831","0.7116564417177914","0.3845433635096397","0.8169014084507042","0.6304347826086957","0.6304347826086957","0.9403669724770642","0.37959879636764526","0.8373209971123814"
"laced-sweep-24","","finished","-","","","2024-04-30T21:07:07.000Z","38","unimodal_fox_stats (baal)","1024","0.9","0.999","0.95","yes","0.23420212038821583","0.571208135388657","0.364654919080181","no","ShallowANN","0.8033198577576715","20","74","10000","AdamW","1","551","MinMaxScaler","reduce","256","1","no","no","0.0001","0.11563128191010084","0.05218934012997538","0.05963302752293578","0.8613445378151261","0.8194444444444444","0.9403669724770642","0.6413043478260869","0.8516129032258064","0.8695652173913042","0.8051746327627418","33","13","205","59","0.8047337278106509","0.8790726817042607","0.7870323129251702","0.07256300456425142","0.6886792452830188","0.4170520940475915","0.7195121951219512","0.38511702014553933","0.8194444444444444","0.6413043478260869","0.6413043478260869","0.9403669724770642","0.36950021982192993","0.8403944911297853"
"laced-sweep-23","","finished","-","","","2024-04-30T21:07:05.000Z","35","unimodal_fox_stats (baal)","1024","0.9","0.999","0.95","yes","0.23420212038821583","0.571208135388657","0.364654919080181","no","ShallowANN","0.8033198577576715","20","74","10000","AdamW","1","551","MinMaxScaler","reduce","764","1","no","no","0.0001","0.1144366295509342","0.03604012247054811","0.06422018348623854","0.864406779661017","0.8108108108108109","0.9357798165137616","0.6521739130434783","0.8516129032258064","0.8716094934184284","0.7960816950446639","32","14","204","60","0.8106508875739645","0.8809132205513783","0.7942176870748299","0.061196202180794725","0.6981132075471698","0.41476666151419195","0.7228915662650602","0.382245119156376","0.8108108108108109","0.6521739130434783","0.6521739130434783","0.9357798165137616","0.39617857336997986","0.8376087952359139"
"treasured-sweep-22","","finished","-","","","2024-04-30T21:06:59.000Z","34","unimodal_fox_stats (baal)","1024","0.9","0.999","0.95","yes","0.23420212038821583","0.571208135388657","0.364654919080181","no","ShallowANN","0.8033198577576715","20","74","10000","AdamW","1","551","MinMaxScaler","reduce","845","1","no","no","0.0001","0.1157724483833719","0.035899339952776506","0.045871559633027525","0.8489795918367347","0.8461538461538461","0.9541284403669724","0.5978260869565217","0.8483870967741935","0.8770442760271241","0.8139850841307793","37","10","208","55","0.8254437869822485","0.8843984962406015","0.8223886064935659","0.07646158954800941","0.7064676616915423","0.41731993545441937","0.7006369426751592","0.38523766302293344","0.8461538461538461","0.5978260869565217","0.5978260869565217","0.9541284403669724","0.3815441429615021","0.8475667189952905"
"solar-sweep-21","","finished","-","","","2024-04-30T21:06:31.000Z","34","unimodal_fox_stats (baal)","1024","0.9","0.999","0.95","yes","0.23420212038821583","0.571208135388657","0.364654919080181","no","ShallowANN","0.8033198577576715","20","74","10000","AdamW","1","551","MinMaxScaler","reduce","312","1","no","no","0.0001","0.11661796154942668","0.06591997319652189","0.08256880733944955","0.8810572687224669","0.7831325301204819","0.9174311926605504","0.7065217391304348","0.8548387096774194","0.875847626645393","0.8074868648199711","27","18","200","65","0.8165680473372781","0.8822446741854636","0.7952749683944373","0.06310166392100636","0.7256637168141593","0.41262108616574983","0.7428571428571429","0.3869015847482989","0.7831325301204819","0.7065217391304348","0.7065217391304348","0.9174311926605504","0.3794012069702149","0.8320948994214744"
