"Name","Agent","State","Notes","User","Tags","Created","Runtime","Sweep","batch_size","beta1","beta2","corr_thr","drop_correlated","dropout_prob","gamma","hidden_dim","increase_variance","last_hidden_dim","learning_rate","minority_oversample","model","model_subset_choice","momentum","noise_variance","num_buckets","num_epochs","num_trials","optimizer","patience","random_state","sampler","scaling_method","scheduler","seed","step_size","temperature","train_random_noise","use_feature_scaling","use_scheduler","validation_random_noise","weight_decay","BS","ECE","FPR","NPV","PPV","TNR","TPR","accuracy","auroc","average_precision","confusion_matrix.fn","confusion_matrix.fp","confusion_matrix.tn","confusion_matrix.tp","dev_accuracy","dev_auroc","dev_balanced_accuracy","dev_ece","dev_f1","dev_loss","f1_score","loss","precision","recall","sensitivity","specificity","train_loss","weighted_accuracy"
"astral-sweep-43","","finished","-","","","2024-05-01T16:33:48.000Z","10","early_fusion_baseline_stats","512","0.9","0.999","","","","0.9222312042539316","256","no","8","0.04302841196159639","no","","0","0.13272429420800483","0.565011755638535","","54","","SGD","11","507","SMOTENC","","reduce","416","12","0.5059772368291524","no","","yes","no","0.0001","0.09897988713593896","0.03510891362495228","0.09302325581395347","0.8863636363636364","0.8153846153846154","0.9069767441860463","0.7794117647058824","0.8629441624365483","0.92875056999544","0.876656125721011","15","12","117","53","0.8186046511627907","0.890794058316523","0.8072398190045249","","0.7664670658682635","0.42064989666606106","0.7969924812030075","0.3217884973826142","0.8153846153846154","0.7794117647058824","0.7794117647058824","0.9069767441860463","0.026704691350460052","0.8508741258741259"
"stilted-sweep-42","","finished","-","","","2024-05-01T16:33:48.000Z","9","early_fusion_baseline_stats","512","0.9","0.999","","","","0.9222312042539316","256","no","8","0.04302841196159639","no","","0","0.13272429420800483","0.565011755638535","","54","","SGD","11","507","SMOTENC","","reduce","313","12","0.5059772368291524","no","","yes","no","0.0001","0.09779618763621684","0.04406927987403674","0.09302325581395347","0.8796992481203008","0.8125","0.9069767441860463","0.7647058823529411","0.8578680203045685","0.9319425444596444","0.8681166032626421","16","12","117","52","0.8325581395348837","0.9122501375389692","0.8220192657215558","","0.7831325301204819","0.3784337243368459","0.7878787878787878","0.32067694881845854","0.8125","0.7647058823529411","0.7647058823529411","0.9069767441860463","0.019403036683797836","0.8460996240601504"
"amber-sweep-41","","finished","-","","","2024-05-01T16:33:43.000Z","10","early_fusion_baseline_stats","512","0.9","0.999","","","","0.9222312042539316","256","no","8","0.04302841196159639","no","","0","0.13272429420800483","0.565011755638535","","54","","SGD","11","507","SMOTENC","","reduce","971","12","0.5059772368291524","no","","yes","no","0.0001","0.10671097785884212","0.08146052493661793","0.08527131782945736","0.8872180451127819","0.828125","0.9147286821705426","0.7794117647058824","0.868020304568528","0.9207706338349292","0.8355442420077883","15","11","118","53","0.8325581395348837","0.8991380891252522","0.8217054263565892","","0.7857142857142857","0.3992976698764535","0.803030303030303","0.3455511180277403","0.828125","0.7794117647058824","0.7794117647058824","0.9147286821705426","0.01991659589111805","0.8576715225563909"
"fallen-sweep-39","","finished","-","","","2024-05-01T16:33:33.000Z","9","early_fusion_baseline_stats","512","0.9","0.999","","","","0.9222312042539316","256","no","8","0.04302841196159639","no","","0","0.13272429420800483","0.565011755638535","","54","","SGD","11","507","SMOTENC","","reduce","374","12","0.5059772368291524","no","","yes","no","0.0001","0.09534729889353637","0.07995785371906258","0.08527131782945736","0.8939393939393939","0.8307692307692308","0.9147286821705426","0.7941176470588235","0.8730964467005076","0.937984496124031","0.8861371972134526","14","11","118","54","0.8558139534883721","0.9213277095176968","0.8488924050632911","","0.8074534161490683","0.34724142385083573","0.8120300751879699","0.3109997783215518","0.8307692307692308","0.7941176470588235","0.7941176470588235","0.9147286821705426","0.02373928390443325","0.8623543123543124"
"dry-sweep-37","","finished","-","","","2024-05-01T16:33:28.000Z","9","early_fusion_baseline_stats","512","0.9","0.999","","","","0.9222312042539316","256","no","8","0.04302841196159639","no","","0","0.13272429420800483","0.565011755638535","","54","","SGD","11","507","SMOTENC","","reduce","354","12","0.5059772368291524","no","","yes","no","0.0001","0.097662003645306","0.04025978061753481","0.10852713178294572","0.8914728682170543","0.7941176470588235","0.8914728682170543","0.7941176470588235","0.8578680203045685","0.93296853625171","0.8686759715145256","14","14","115","54","0.8372093023255814","0.9128919860627178","0.8267015242821694","","0.7976878612716763","0.3767250948174055","0.7941176470588235","0.325651294688888","0.7941176470588235","0.7941176470588235","0.7941176470588235","0.8914728682170543","0.02632497251033783","0.8427952576379389"
"astral-sweep-36","","finished","-","","","2024-05-01T16:33:24.000Z","10","early_fusion_baseline_stats","512","0.9","0.999","","","","0.9222312042539316","256","no","8","0.04302841196159639","no","","0","0.13272429420800483","0.565011755638535","","54","","SGD","11","507","SMOTENC","","reduce","599","12","0.5059772368291524","no","","yes","no","0.0001","0.09838380418690502","0.06719424488580773","0.1007751937984496","0.8923076923076924","0.8059701492537313","0.8992248062015504","0.7941176470588235","0.8629441624365483","0.9370725034199728","0.866577954865859","14","13","116","54","0.8046511627906977","0.8991380891252521","0.7936550017674089","","0.7586206896551724","0.3923586113508358","0.8","0.32338160790767767","0.8059701492537313","0.7941176470588235","0.7941176470588235","0.8992248062015504","0.02231493405997753","0.8491389207807118"
"iconic-sweep-35","","finished","-","","","2024-05-01T16:33:17.000Z","9","early_fusion_baseline_stats","512","0.9","0.999","","","","0.9222312042539316","256","no","8","0.04302841196159639","no","","0","0.13272429420800483","0.565011755638535","","54","","SGD","11","507","SMOTENC","","reduce","283","12","0.5059772368291524","no","","yes","no","0.0001","0.09672597194372766","0.04458973159644809","0.09302325581395347","0.8931297709923665","0.8181818181818182","0.9069767441860463","0.7941176470588235","0.868020304568528","0.9301185590515276","0.8618166172126214","14","12","117","54","0.8372093023255814","0.9165596919127086","0.8271723256663015","","0.7878787878787878","0.36065698668014173","0.8059701492537313","0.3270002645889515","0.8181818181818182","0.7941176470588235","0.7941176470588235","0.9069767441860463","0.023686274886131287","0.8556557945870924"
"ruby-sweep-33","","finished","-","","","2024-05-01T16:33:12.000Z","10","early_fusion_baseline_stats","512","0.9","0.999","","","","0.9222312042539316","256","no","8","0.04302841196159639","no","","0","0.13272429420800483","0.565011755638535","","54","","SGD","11","507","SMOTENC","","reduce","516","12","0.5059772368291524","no","","yes","no","0.0001","0.09016697719201984","0.039803863781962885","0.09302325581395347","0.9140625","0.8260869565217391","0.9069767441860463","0.8382352941176471","0.883248730964467","0.9420884632922938","0.8787722842639624","11","12","117","57","0.827906976744186","0.9028057949752428","0.8171747607231479","","0.7861271676300579","0.3911530605582304","0.8321167883211679","0.29929134930450907","0.8260869565217391","0.8382352941176471","0.8382352941176471","0.9069767441860463","0.021299242973327637","0.8700747282608696"
"comic-sweep-32","","finished","-","","","2024-05-01T16:33:09.000Z","9","early_fusion_baseline_stats","512","0.9","0.999","","","","0.9222312042539316","256","no","8","0.04302841196159639","no","","0","0.13272429420800483","0.565011755638535","","54","","SGD","11","507","SMOTENC","","reduce","340","12","0.5059772368291524","no","","yes","no","0.0001","0.09539970137479678","0.054686093390895606","0.09302325581395347","0.9","0.8208955223880597","0.9069767441860463","0.8088235294117647","0.8730964467005076","0.9362745098039216","0.8667084714685912","13","12","117","55","0.8418604651162791","0.9121584448927196","0.8313953488372093","","0.7976190476190477","0.3645328255586846","0.8148148148148148","0.31291758348494014","0.8208955223880597","0.8088235294117647","0.8088235294117647","0.9069767441860463","0.023127196356654167","0.8604477611940299"
"stoic-sweep-30","","finished","-","","","2024-05-01T16:33:01.000Z","9","early_fusion_baseline_stats","512","0.9","0.999","","","","0.9222312042539316","256","no","8","0.04302841196159639","no","","0","0.13272429420800483","0.565011755638535","","54","","SGD","11","507","SMOTENC","","reduce","905","12","0.5059772368291524","no","","yes","no","0.0001","0.10331990846397177","0.05954721312837551","0.13178294573643412","0.9032258064516128","0.7671232876712328","0.8682170542635659","0.8235294117647058","0.8527918781725888","0.9246466028271776","0.8552837564884351","12","17","112","56","0.8418604651162791","0.9155510728039612","0.8313953488372093","","0.7976190476190477","0.36240638910337936","0.7943262411347518","0.3341665509993655","0.7671232876712328","0.8235294117647058","0.8235294117647058","0.8682170542635659","0.02153339982032776","0.8351745470614229"
