"Name","Agent","State","Notes","User","Tags","Created","Runtime","Sweep","batch_size","beta1","beta2","corr_thr","drop_correlated","dropout_prob","gamma","hidden_dim","increase_variance","last_hidden_dim","learning_rate","minority_oversample","model","model_subset_choice","momentum","noise_variance","num_buckets","num_epochs","num_trials","optimizer","patience","random_state","sampler","scaling_method","scheduler","seed","step_size","temperature","train_random_noise","use_feature_scaling","use_scheduler","validation_random_noise","weight_decay","BS","ECE","FPR","NPV","PPV","TNR","TPR","accuracy","auroc","average_precision","confusion_matrix.fn","confusion_matrix.fp","confusion_matrix.tn","confusion_matrix.tp","dev_accuracy","dev_auroc","dev_balanced_accuracy","dev_ece","dev_f1","dev_loss","f1_score","loss","precision","recall","sensitivity","specificity","train_loss","weighted_accuracy"
"comic-sweep-30","","finished","-","","","2024-05-01T16:47:23.000Z","9","neural_late_fusion_stats","512","0.9","0.999","","","","0.7953510793667574","128","no","4","0.04151179706977408","no","","0","0.13417354337700677","0.565011755638535","","59","","SGD","19","957","ADASYN","","reduce","417","9","0.5059772368291524","no","","no","no","0.0001","0.1568863799563863","0.2529212000406333","0.10852713178294572","0.9274193548387096","0.8082191780821918","0.8914728682170543","0.8676470588235294","0.883248730964467","0.945280437756498","0.9095749038429576","9","14","115","59","0.8325581395348837","0.9294883550339264","0.8227536486724107","","0.7954545454545454","0.5116460400958394","0.8368794326241135","0.49887208890188767","0.8082191780821918","0.8676470588235294","0.8676470588235294","0.8914728682170543","0.432594895362854","0.8678192664604507"
"chocolate-sweep-29","","finished","-","","","2024-05-01T16:47:10.000Z","9","neural_late_fusion_stats","512","0.9","0.999","","","","0.7953510793667574","128","no","4","0.04151179706977408","no","","0","0.13417354337700677","0.565011755638535","","59","","SGD","19","957","ADASYN","","reduce","740","9","0.5059772368291524","no","","no","no","0.0001","0.21741305148171855","0.3036200449551423","0.17054263565891473","0.9304347826086956","0.7317073170731707","0.8294573643410853","0.8823529411764706","0.8477157360406091","0.9428864569083448","0.9025766980522952","8","22","107","60","0.7906976744186046","0.9095910507977258","0.7948717948717949","","0.7668393782383419","0.6326259879178779","0.8","0.6274804439641497","0.7317073170731707","0.8823529411764706","0.8823529411764706","0.8294573643410853","0.592840313911438","0.8310710498409332"
"whole-sweep-28","","finished","-","","","2024-05-01T16:47:09.000Z","11","neural_late_fusion_stats","512","0.9","0.999","","","","0.7953510793667574","128","no","4","0.04151179706977408","no","","0","0.13417354337700677","0.565011755638535","","59","","SGD","19","957","ADASYN","","reduce","517","9","0.5059772368291524","no","","no","no","0.0001","0.14779076242868938","0.2158075785878951","0.13178294573643412","0.9256198347107438","0.7763157894736842","0.8682170542635659","0.8676470588235294","0.868020304568528","0.938326493388053","0.8993624601634229","9","17","112","59","0.8325581395348837","0.917568311021456","0.8227536486724107","","0.7954545454545454","0.4987054869186046","0.8194444444444444","0.476797655754283","0.7763157894736842","0.8676470588235294","0.8676470588235294","0.8682170542635659","0.4294666051864624","0.850967812092214"
"fanciful-sweep-27","","finished","-","","","2024-05-01T16:47:08.000Z","11","neural_late_fusion_stats","512","0.9","0.999","","","","0.7953510793667574","128","no","4","0.04151179706977408","no","","0","0.13417354337700677","0.565011755638535","","59","","SGD","19","957","ADASYN","","reduce","248","9","0.5059772368291524","no","","no","no","0.0001","0.20409569739641045","0.2807302387232708","0.18604651162790695","0.9375","0.7176470588235294","0.813953488372093","0.8970588235294118","0.8426395939086294","0.9328545371637028","0.8845670827308845","7","24","105","61","0.8325581395348837","0.9410416284613974","0.8354978354978355","","0.8125","0.5933113275572311","0.7973856209150327","0.6001017614064483","0.7176470588235294","0.8970588235294118","0.8970588235294118","0.813953488372093","0.5606815218925476","0.8275735294117648"
"fearless-sweep-26","","finished","-","","","2024-05-01T16:47:07.000Z","12","neural_late_fusion_stats","512","0.9","0.999","","","","0.7953510793667574","128","no","4","0.04151179706977408","no","","0","0.13417354337700677","0.565011755638535","","59","","SGD","19","957","ADASYN","","reduce","459","9","0.5059772368291524","no","","no","no","0.0001","0.17110449434211514","0.208131569593691","0.14728682170542637","0.8870967741935484","0.7397260273972602","0.8527131782945736","0.7941176470588235","0.8324873096446701","0.8948928408572732","0.8356237007911483","14","19","110","54","0.7674418604651163","0.874014304052815","0.7589830804116517","","0.7222222222222222","0.550286049066588","0.7659574468085106","0.52876537342362","0.7397260273972602","0.7941176470588235","0.7941176470588235","0.8527131782945736","0.46985721588134766","0.8134114007954043"
"cool-sweep-25","","finished","-","","","2024-05-01T16:46:54.000Z","9","neural_late_fusion_stats","512","0.9","0.999","","","","0.7953510793667574","128","no","4","0.04151179706977408","no","","0","0.13417354337700677","0.565011755638535","","59","","SGD","19","957","ADASYN","","reduce","302","9","0.5059772368291524","no","","no","no","0.0001","0.18384258785292015","0.3030799941968192","0.08527131782945736","0.9147286821705426","0.8382352941176471","0.9147286821705426","0.8382352941176471","0.8883248730964467","0.943342453260374","0.8994088435882461","11","11","118","57","0.8558139534883721","0.9469099578213828","0.8467105263157895","","0.8248587570621468","0.5526586133380269","0.8382352941176471","0.5585190051703284","0.8382352941176471","0.8382352941176471","0.8382352941176471","0.9147286821705426","0.5080803632736206","0.8764819881440948"
"northern-sweep-24","","finished","-","","","2024-05-01T16:46:53.000Z","9","neural_late_fusion_stats","512","0.9","0.999","","","","0.7953510793667574","128","no","4","0.04151179706977408","no","","0","0.13417354337700677","0.565011755638535","","59","","SGD","19","957","ADASYN","","reduce","982","9","0.5059772368291524","no","","no","no","0.0001","0.1958173049827747","0.29688839621955365","0.11627906976744186","0.912","0.7916666666666666","0.8837209302325582","0.8382352941176471","0.868020304568528","0.9263565891472868","0.8685571153308775","11","15","114","57","0.8558139534883721","0.9404914725838988","0.8461131676361713","","0.8228571428571428","0.5728140897529069","0.8142857142857143","0.5834001260360485","0.7916666666666666","0.8382352941176471","0.8382352941176471","0.8837209302325582","0.5619493126869202","0.8518333333333333"
"brisk-sweep-23","","finished","-","","","2024-05-01T16:46:52.000Z","12","neural_late_fusion_stats","512","0.9","0.999","","","","0.7953510793667574","128","no","4","0.04151179706977408","no","","0","0.13417354337700677","0.565011755638535","","59","","SGD","19","957","ADASYN","","reduce","132","9","0.5059772368291524","no","","no","no","0.0001","0.17241313230065303","0.2745969522422945","0.11627906976744186","0.926829268292683","0.7972972972972973","0.8837209302325582","0.8676470588235294","0.8781725888324873","0.9506383948928409","0.9127581488708572","9","15","114","59","0.8418604651162791","0.9299468182651752","0.8316542948038177","","0.8045977011494253","0.5455364138581033","0.8309859154929577","0.5339656384463237","0.7972972972972973","0.8676470588235294","0.8676470588235294","0.8837209302325582","0.4805167615413666","0.8620632827949901"
"fragrant-sweep-22","","finished","-","","","2024-05-01T16:46:52.000Z","11","neural_late_fusion_stats","512","0.9","0.999","","","","0.7953510793667574","128","no","4","0.04151179706977408","no","","0","0.13417354337700677","0.565011755638535","","59","","SGD","19","957","ADASYN","","reduce","336","9","0.5059772368291524","no","","no","no","0.0001","0.2082560375724716","0.26727302546428544","0.24806201550387597","0.9797979797979798","0.673469387755102","0.751937984496124","0.9705882352941176","0.8274111675126904","0.9492704058367534","0.9146657360052964","2","32","97","66","0.7767441860465116","0.9367320740876582","0.8020648706132577","","0.7669902912621359","0.609308712981468","0.7951807228915663","0.6083949132619171","0.673469387755102","0.9705882352941176","0.9705882352941176","0.751937984496124","0.5722602009773254","0.8266336837765409"
"snowy-sweep-21","","finished","-","","","2024-05-01T16:46:39.000Z","9","neural_late_fusion_stats","512","0.9","0.999","","","","0.7953510793667574","128","no","4","0.04151179706977408","no","","0","0.13417354337700677","0.565011755638535","","59","","SGD","19","957","ADASYN","","reduce","574","9","0.5059772368291524","no","","no","no","0.0001","0.15748055278280598","0.25061696737550837","0.13178294573643412","0.9411764705882352","0.782051282051282","0.8682170542635659","0.8970588235294118","0.8781725888324873","0.9529183766529868","0.9164607120050564","7","17","112","61","0.8558139534883721","0.943609022556391","0.8467105263157895","","0.8248587570621468","0.5048371071039244","0.8356164383561644","0.5008191336229973","0.782051282051282","0.8970588235294118","0.8970588235294118","0.8682170542635659","0.45279428362846375","0.8616138763197587"
"fluent-sweep-20","","finished","-","","","2024-05-01T16:46:37.000Z","12","neural_late_fusion_stats","512","0.9","0.999","","","","0.7953510793667574","128","no","4","0.04151179706977408","no","","0","0.13417354337700677","0.565011755638535","","59","","SGD","19","957","ADASYN","","reduce","138","9","0.5059772368291524","no","","no","no","0.0001","0.12590683845165157","0.2123163236579314","0.08527131782945736","0.9291338582677166","0.8428571428571429","0.9147286821705426","0.8676470588235294","0.8984771573604061","0.9538303693570452","0.9189951483449444","9","11","118","59","0.8372093023255814","0.9385659270126536","0.8264669163545568","","0.7953216374269005","0.4428052325581395","0.855072463768116","0.4258275685576618","0.8428571428571429","0.8676470588235294","0.8676470588235294","0.9147286821705426","0.3436776399612427","0.8859955005624297"
"curious-sweep-19","","finished","-","","","2024-05-01T16:46:37.000Z","11","neural_late_fusion_stats","512","0.9","0.999","","","","0.7953510793667574","128","no","4","0.04151179706977408","no","","0","0.13417354337700677","0.565011755638535","","59","","SGD","19","957","ADASYN","","reduce","791","9","0.5059772368291524","no","","no","no","0.0001","0.17853471998574869","0.27069765662178774","0.15503875968992248","0.9478260869565216","0.7560975609756098","0.8449612403100775","0.9117647058823528","0.868020304568528","0.9482444140446876","0.9151498236741362","6","20","109","62","0.8325581395348837","0.93196405648267","0.8309676302579193","","0.8085106382978723","0.5561163968818132","0.8266666666666667","0.5463986469404346","0.7560975609756098","0.9117647058823528","0.9117647058823528","0.8449612403100775","0.48940736055374146","0.8519618239660658"
"valiant-sweep-18","","finished","-","","","2024-05-01T16:46:36.000Z","9","neural_late_fusion_stats","512","0.9","0.999","","","","0.7953510793667574","128","no","4","0.04151179706977408","no","","0","0.13417354337700677","0.565011755638535","","59","","SGD","19","957","ADASYN","","reduce","765","9","0.5059772368291524","no","","no","no","0.0001","0.1758157576855501","0.2710529980320615","0.12403100775193798","0.9262295081967212","0.7866666666666666","0.875968992248062","0.8676470588235294","0.8730964467005076","0.9331965344277244","0.8834084474941317","9","16","113","59","0.8465116279069768","0.945626260773886","0.8392546151166841","","0.8176795580110497","0.5309285363485646","0.8251748251748252","0.5402596565672588","0.7866666666666666","0.8676470588235294","0.8676470588235294","0.875968992248062","0.4928905963897705","0.856448087431694"
"dashing-sweep-17","","finished","-","","","2024-05-01T16:46:23.000Z","11","neural_late_fusion_stats","512","0.9","0.999","","","","0.7953510793667574","128","no","4","0.04151179706977408","no","","0","0.13417354337700677","0.565011755638535","","59","","SGD","19","957","ADASYN","","reduce","255","9","0.5059772368291524","no","","no","no","0.0001","0.20694470053022168","0.2549787741627185","0.015503875968992248","0.7888198757763976","0.9444444444444444","0.9844961240310076","0.5","0.817258883248731","0.910282717738258","0.8542994860627617","34","2","127","34","0.8093023255813954","0.9141756831102146","0.8301136363636363","","0.7007299270072993","0.6061791708303053","0.6538461538461539","0.6061119428140863","0.9444444444444444","0.5","0.5","0.9844961240310076","0.6148651838302612","0.866632160110421"
"toasty-sweep-16","","finished","-","","","2024-05-01T16:46:22.000Z","11","neural_late_fusion_stats","512","0.9","0.999","","","","0.7953510793667574","128","no","4","0.04151179706977408","no","","0","0.13417354337700677","0.565011755638535","","59","","SGD","19","957","ADASYN","","reduce","526","9","0.5059772368291524","no","","no","no","0.0001","0.23114217625363484","0.1273781844807155","0","0.6548223350253807","0","1","0","0.6548223350253807","0.7144322845417237","0.5873359301590455","68","0","129","0","0.6186046511627907","0.8162479369154594","0.30930232558139537","","0","0.6569781636082849","0","0.6552237108879283","0","0","0","1","0.6595625281333923","0.32741116751269034"
"ancient-sweep-15","","finished","-","","","2024-05-01T16:46:21.000Z","12","neural_late_fusion_stats","512","0.9","0.999","","","","0.7953510793667574","128","no","4","0.04151179706977408","no","","0","0.13417354337700677","0.565011755638535","","59","","SGD","19","957","ADASYN","","reduce","477","9","0.5059772368291524","no","","no","no","0.0001","0.17374396902457295","0.2732084762626493","0.13953488372093023","0.9487179487179488","0.775","0.8604651162790697","0.9117647058823528","0.8781725888324873","0.9416324669402644","0.8982980842593067","6","18","111","62","0.8558139534883721","0.9426920960938932","0.8475449938843264","","0.8268156424581006","0.5302815991778707","0.8378378378378378","0.5364525499682741","0.775","0.9117647058823528","0.9117647058823528","0.8604651162790697","0.4808567464351654","0.8618589743589744"
