"Name","Agent","State","Notes","User","Tags","Created","Runtime","Sweep","batch_size","beta1","beta2","corr_thr","drop_correlated","dropout_prob","gamma","learning_rate","minority_oversample","model","momentum","num_buckets","num_epochs","num_trials","optimizer","patience","random_state","scaling_method","scheduler","seed","step_size","use_feature_scaling","use_scheduler","weight_decay","BS","ECE","FPR","NPV","PPV","TNR","TPR","accuracy","auroc","average_precision","confusion_matrix.fn","confusion_matrix.fp","confusion_matrix.tn","confusion_matrix.tp","dev_accuracy","dev_auroc","dev_balanced_accuracy","dev_ece","dev_f1","dev_loss","f1_score","loss","precision","recall","sensitivity","specificity","train_loss","weighted_accuracy"
"fallen-sweep-42","","finished","-","","","2024-04-30T19:34:09.000Z","9","unimodal_fox_stats (no baal)","256","0.9","0.999","0.9","no","","0.7478893868526992","0.06573643554880117","no","ANN","0.5231696483982686","","27","","SGD","13","349","StandardScaler","step","997","28","yes","no","0.0001","0.1063152495868814","0.03744492088594744","0.07339449541284404","0.8744588744588745","0.7974683544303798","0.926605504587156","0.6847826086956522","0.8548387096774194","0.9017750299162344","0.8434239167373534","29","16","202","63","0.8165680473372781","0.8842418546365916","0.7952749683944373","","0.7256637168141593","0.3958926680525379","0.7368421052631579","0.3435792000063004","0.7974683544303798","0.6847826086956522","0.6847826086956522","0.926605504587156","0.08841858059167862","0.8359636144446272"
"resilient-sweep-41","","finished","-","","","2024-04-30T19:33:53.000Z","10","unimodal_fox_stats (no baal)","256","0.9","0.999","0.9","no","","0.7478893868526992","0.06573643554880117","no","ANN","0.5231696483982686","","27","","SGD","13","349","StandardScaler","step","837","28","yes","no","0.0001","0.11054408850044636","0.05937957763671878","0.06880733944954129","0.8675213675213675","0.8026315789473685","0.9311926605504588","0.6630434782608695","0.8516129032258064","0.891952532907858","0.8160711250176711","31","15","203","61","0.8372781065088757","0.8879229323308271","0.8218066625791948","","0.7488584474885844","0.38866474219327846","0.7261904761904762","0.3595899028162802","0.8026315789473685","0.6630434782608695","0.6630434782608695","0.9311926605504588","0.09058159589767456","0.8350764732343681"
"scarlet-sweep-40","","finished","-","","","2024-04-30T19:33:38.000Z","9","unimodal_fox_stats (no baal)","256","0.9","0.999","0.9","no","","0.7478893868526992","0.06573643554880117","no","ANN","0.5231696483982686","","27","","SGD","13","349","StandardScaler","step","890","28","yes","no","0.0001","0.10717678665651052","0.06092949836484849","0.08256880733944955","0.8547008547008547","0.7631578947368421","0.9174311926605504","0.6304347826086957","0.832258064516129","0.9035201435979258","0.8302255199449139","34","18","200","58","0.8284023668639053","0.8861998746867168","0.8092902711323764","","0.7410714285714286","0.39434141802364553","0.6904761904761905","0.3431941370810232","0.7631578947368421","0.6304347826086957","0.6304347826086957","0.9174311926605504","0.1038980484008789","0.8089293747188484"
"twilight-sweep-39","","finished","-","","","2024-04-30T19:33:22.000Z","12","unimodal_fox_stats (no baal)","256","0.9","0.999","0.9","no","","0.7478893868526992","0.06573643554880117","no","ANN","0.5231696483982686","","27","","SGD","13","349","StandardScaler","step","764","28","yes","no","0.0001","0.11342097018328048","0.024148314998995873","0.0779816513761468","0.8626609442060086","0.7792207792207793","0.9220183486238532","0.6521739130434783","0.8419354838709677","0.8934982050259274","0.8120471719897473","32","17","201","60","0.8165680473372781","0.884202694235589","0.7958133971291865","","0.7232142857142857","0.3933982623399362","0.7100591715976331","0.3632289517310358","0.7792207792207793","0.6521739130434783","0.6521739130434783","0.9220183486238532","0.0906720608472824","0.820940861713394"
"jolly-sweep-38","","finished","-","","","2024-04-30T19:33:07.000Z","9","unimodal_fox_stats (no baal)","256","0.9","0.999","0.9","no","","0.7478893868526992","0.06573643554880117","no","ANN","0.5231696483982686","","27","","SGD","13","349","StandardScaler","step","318","28","yes","no","0.0001","0.11276131882686986","0.03728426483369642","0.06880733944954129","0.8565400843881856","0.7945205479452054","0.9311926605504588","0.6304347826086957","0.8419354838709677","0.8879138412445153","0.8131802425047968","34","15","203","58","0.8313609467455622","0.8852600250626566","0.8148988350705089","","0.7397260273972602","0.396534756090514","0.703030303030303","0.3632442105200983","0.7945205479452054","0.6304347826086957","0.6304347826086957","0.9311926605504588","0.11014167219400406","0.8255303161666956"
"whole-sweep-37","","finished","-","","","2024-04-30T19:32:51.000Z","9","unimodal_fox_stats (no baal)","256","0.9","0.999","0.9","no","","0.7478893868526992","0.06573643554880117","no","ANN","0.5231696483982686","","27","","SGD","13","349","StandardScaler","step","348","28","yes","no","0.0001","0.1106279427860683","0.038312752208402065","0.0779816513761468","0.8589743589743589","0.7763157894736842","0.9220183486238532","0.6413043478260869","0.8387096774193549","0.8976864778619863","0.8279940834055841","33","17","201","59","0.8254437869822485","0.884907581453634","0.8055919355478827","","0.7377777777777778","0.3921412180161335","0.7023809523809523","0.35079712406281505","0.7763157894736842","0.6413043478260869","0.6413043478260869","0.9220183486238532","0.10000807791948318","0.8176450742240216"
"snowy-sweep-36","","finished","-","","","2024-04-30T19:32:36.000Z","9","unimodal_fox_stats (no baal)","256","0.9","0.999","0.9","no","","0.7478893868526992","0.06573643554880117","no","ANN","0.5231696483982686","","27","","SGD","13","349","StandardScaler","step","751","28","yes","no","0.0001","0.11293794145490192","0.03833339887280619","0.0871559633027523","0.8577586206896551","0.7564102564102564","0.9128440366972476","0.6413043478260869","0.832258064516129","0.8910051854806542","0.8102800781910531","33","19","199","59","0.8284023668639053","0.8898026315789473","0.8086283185840708","","0.7433628318584071","0.3870585514948918","0.6941176470588235","0.36260299682617186","0.7564102564102564","0.6413043478260869","0.6413043478260869","0.9128440366972476","0.09203869849443436","0.8070844385499558"
"genial-sweep-35","","finished","-","","","2024-04-30T19:32:20.000Z","9","unimodal_fox_stats (no baal)","256","0.9","0.999","0.9","no","","0.7478893868526992","0.06573643554880117","no","ANN","0.5231696483982686","","27","","SGD","13","349","StandardScaler","step","588","28","yes","no","0.0001","0.1117855258389759","0.03696509830413327","0.06880733944954129","0.8675213675213675","0.8026315789473685","0.9311926605504588","0.6630434782608695","0.8516129032258064","0.8916533705624252","0.8092242784054895","31","15","203","61","0.8195266272189349","0.8849075814536341","0.799507231280798","","0.726457399103139","0.393102521727071","0.7261904761904762","0.36435394287109374","0.8026315789473685","0.6630434782608695","0.6630434782608695","0.9311926605504588","0.10437260568141936","0.8350764732343681"
"peachy-sweep-34","","finished","-","","","2024-04-30T19:32:04.000Z","10","unimodal_fox_stats (no baal)","256","0.9","0.999","0.9","no","","0.7478893868526992","0.06573643554880117","no","ANN","0.5231696483982686","","27","","SGD","13","349","StandardScaler","step","635","28","yes","no","0.0001","0.11172951497234827","0.04776220360109883","0.0779816513761468","0.8663793103448276","0.782051282051282","0.9220183486238532","0.6630434782608695","0.8451612903225807","0.8959413641802951","0.8179809774667961","31","17","201","61","0.8254437869822485","0.8833411654135339","0.809027060524685","","0.728110599078341","0.39660870252981695","0.7176470588235294","0.3581228686917213","0.782051282051282","0.6630434782608695","0.6630434782608695","0.9220183486238532","0.10263613611459732","0.8242152961980549"
"good-sweep-33","","finished","-","","","2024-04-30T19:31:48.000Z","9","unimodal_fox_stats (no baal)","256","0.9","0.999","0.9","no","","0.7478893868526992","0.06573643554880117","no","ANN","0.5231696483982686","","27","","SGD","13","349","StandardScaler","step","342","28","yes","no","0.0001","0.10939718737397684","0.04171328621525917","0.06422018348623854","0.8717948717948718","0.8157894736842105","0.9357798165137616","0.6739130434782609","0.8580645161290322","0.8949940167530913","0.8140376708925142","30","14","204","62","0.834319526627219","0.8914082080200502","0.8153049936788874","","0.7522123893805309","0.38617530235877406","0.7380952380952381","0.3618831511466734","0.8157894736842105","0.6739130434782609","0.6739130434782609","0.9357798165137616","0.1054057627916336","0.8437921727395412"
