"Name","Agent","State","Notes","User","Tags","Created","Runtime","Sweep","batch_size","beta1","beta2","corr_thr","drop_correlated","dropout_prob","gamma","hidden_dim","increase_variance","last_hidden_dim","learning_rate","minority_oversample","model","model_subset_choice","momentum","noise_variance","num_buckets","num_epochs","num_trials","optimizer","patience","query_dim","random_state","sampler","scaling_method","scheduler","seed","step_size","temperature","train_random_noise","uncertainty_weight","use_feature_scaling","use_scheduler","validation_random_noise","weight_decay","BS","ECE","FPR","NPV","PPV","TNR","TPR","accuracy","auroc","average_precision","confusion_matrix.fn","confusion_matrix.fp","confusion_matrix.tn","confusion_matrix.tp","coverage","dev_accuracy","dev_auroc","dev_balanced_accuracy","dev_ece","dev_f1","dev_loss","f1_score","loss","precision","recall","sensitivity","specificity","train_loss","weighted_accuracy"
"daily-sweep-30","","finished","-","","","2024-05-02T12:49:16.000Z","38","uncertainty_aware_fusion_stats","1024","0.9","0.999","","","0.4886014578622704","0.8811368627440624","512","no","32","0.04696835878517764","no","","0","0.259212523900994","0.01","20","233","30","SGD","18","32","428","SMOTEN","","step","198","13","0.05","no","66.22989673611967","","yes","no","0.0001","0.10147833362415148","0.056459572614799614","0.08","0.8846153846153846","0.8360655737704918","0.92","0.7727272727272727","0.8691099476439791","0.9276363636363636","0.8543459529112714","15","10","115","51","0.9695431472081218","0.827906976744186","0.9200440124701998","0.8169683257918552","0.05429638208344925","0.7784431137724551","0.35920484675917513","0.8031496062992126","0.3462574373041918","0.8360655737704918","0.7727272727272727","0.7727272727272727","0.92","0.24285073578357697","0.8603404791929382"
"peach-sweep-28","","finished","-","","","2024-05-02T12:49:13.000Z","38","uncertainty_aware_fusion_stats","1024","0.9","0.999","","","0.4886014578622704","0.8811368627440624","512","no","32","0.04696835878517764","no","","0","0.259212523900994","0.01","20","233","30","SGD","18","32","428","SMOTEN","","step","797","13","0.05","no","66.22989673611967","","yes","no","0.0001","0.09496144726984372","0.053771519412597016","0.0859375","0.9","0.8225806451612904","0.9140625","0.796875","0.875","0.9334716796875","0.8686751202830318","13","11","117","51","0.9746192893401016","0.8511627906976744","0.9270126535851824","0.8415576154125772","0.07450017762738605","0.8072289156626506","0.34204829016397165","0.8095238095238095","0.32851704244081137","0.8225806451612904","0.796875","0.796875","0.9140625","0.2334509938955307","0.8612903225806452"
"blooming-sweep-29","","finished","-","","","2024-05-02T12:49:13.000Z","39","uncertainty_aware_fusion_stats","1024","0.9","0.999","","","0.4886014578622704","0.8811368627440624","512","no","32","0.04696835878517764","no","","0","0.259212523900994","0.01","20","233","30","SGD","18","32","428","SMOTEN","","step","435","13","0.05","no","66.22989673611967","","yes","no","0.0001","0.10390594813110549","0.068978298278082","0.10236220472440943","0.9047619047619048","0.7936507936507936","0.8976377952755905","0.8064516129032258","0.8677248677248677","0.92748285496571","0.8610918162028688","12","13","114","50","0.9593908629441624","0.8325581395348837","0.9114249037227212","0.8217054263565892","0.058096632014873424","0.7857142857142857","0.3811965587527253","0.8","0.35688464169574874","0.7936507936507936","0.8064516129032258","0.8064516129032258","0.8976377952755905","0.28706806898117065","0.8492063492063492"
"stoic-sweep-27","","finished","-","","","2024-05-02T12:49:08.000Z","36","uncertainty_aware_fusion_stats","1024","0.9","0.999","","","0.4886014578622704","0.8811368627440624","512","no","32","0.04696835878517764","no","","0","0.259212523900994","0.01","20","233","30","SGD","18","32","428","SMOTEN","","step","186","13","0.05","no","66.22989673611967","","yes","no","0.0001","0.09649791545112033","0.10175265395452104","0.072","0.8923076923076924","0.847457627118644","0.928","0.78125","0.8783068783068783","0.93675","0.8714949801022873","14","9","116","50","0.9593908629441624","0.8325581395348837","0.9232532550889418","0.8225747295066936","0.06468162120774736","0.7804878048780488","0.358568484284157","0.8130081300813008","0.33713438547202174","0.847457627118644","0.78125","0.78125","0.928","0.24962766468524933","0.8698826597131681"
"ethereal-sweep-26","","finished","-","","","2024-05-02T12:48:32.000Z","36","uncertainty_aware_fusion_stats","1024","0.9","0.999","","","0.4886014578622704","0.8811368627440624","512","no","32","0.04696835878517764","no","","0","0.259212523900994","0.01","20","233","30","SGD","18","32","428","SMOTEN","","step","580","13","0.05","no","66.22989673611967","","yes","no","0.0001","0.1002039058419425","0.06187445918718975","0.07874015748031496","0.8863636363636364","0.8333333333333334","0.9212598425196852","0.7692307692307693","0.8697916666666666","0.9307086614173228","0.8713853993646369","15","10","117","50","0.9746192893401016","0.8232558139534883","0.919218778653952","0.8127177700348431","0.053982410320015835","0.7682926829268293","0.35968223394349563","0.8","0.33866374988846365","0.8333333333333334","0.7692307692307693","0.7692307692307693","0.9212598425196852","0.25220561027526855","0.8598484848484849"
"polar-sweep-25","","finished","-","","","2024-05-02T12:48:31.000Z","38","uncertainty_aware_fusion_stats","1024","0.9","0.999","","","0.4886014578622704","0.8811368627440624","512","no","32","0.04696835878517764","no","","0","0.259212523900994","0.01","20","233","30","SGD","18","32","428","SMOTEN","","step","493","13","0.05","no","66.22989673611967","","yes","no","0.0001","0.09940616611042788","0.08899491489248929","0.072","0.8923076923076924","0.847457627118644","0.928","0.78125","0.8783068783068783","0.933125","0.8498669109816291","14","9","116","50","0.9593908629441624","0.8604651162790697","0.9230698697964425","0.8521456079222446","0.06408888046131576","0.8170731707317073","0.35231003872183864","0.8130081300813008","0.3471364055188174","0.847457627118644","0.78125","0.78125","0.928","0.2545927166938782","0.8698826597131681"
"blooming-sweep-24","","finished","-","","","2024-05-02T12:48:25.000Z","35","uncertainty_aware_fusion_stats","1024","0.9","0.999","","","0.4886014578622704","0.8811368627440624","512","no","32","0.04696835878517764","no","","0","0.259212523900994","0.01","20","233","30","SGD","18","32","428","SMOTEN","","step","308","13","0.05","no","66.22989673611967","","yes","no","0.0001","0.0945816764708224","0.09329197968843687","0.078125","0.900763358778626","0.8387096774193549","0.921875","0.8","0.8808290155440415","0.9367788461538462","0.8541082236997841","13","10","118","52","0.9796954314720812","0.8232558139534883","0.9127086007702182","0.8143833052592176","0.07127486689146173","0.7625","0.3714227011037427","0.8188976377952756","0.3319573571839308","0.8387096774193549","0.8","0.8","0.921875","0.2610708177089691","0.8697365180989904"
"generous-sweep-23","","finished","-","","","2024-05-02T12:48:24.000Z","37","uncertainty_aware_fusion_stats","1024","0.9","0.999","","","0.4886014578622704","0.8811368627440624","512","no","32","0.04696835878517764","no","","0","0.259212523900994","0.01","20","233","30","SGD","18","32","428","SMOTEN","","step","332","13","0.05","no","66.22989673611967","","yes","no","0.0001","0.10221607306083592","0.0632387708734583","0.096","0.904","0.8125","0.904","0.8125","0.873015873015873","0.9315","0.8549840100353009","12","12","113","52","0.9593908629441624","0.8325581395348837","0.9184852374839538","0.8217777777777777","0.06662068450173667","0.7906976744186046","0.3610354046488917","0.8125","0.35204260966499445","0.8125","0.8125","0.8125","0.904","0.219845250248909","0.85825"
"usual-sweep-22","","finished","-","","","2024-05-02T12:47:48.000Z","37","uncertainty_aware_fusion_stats","1024","0.9","0.999","","","0.4886014578622704","0.8811368627440624","512","no","32","0.04696835878517764","no","","0","0.259212523900994","0.01","20","233","30","SGD","18","32","428","SMOTEN","","step","498","13","0.05","no","66.22989673611967","","yes","no","0.0001","0.09006391369666175","0.09544252089618407","0.09375","0.8992248062015504","0.8153846153846154","0.90625","0.803030303030303","0.8711340206185567","0.9449573863636364","0.9034845744864198","13","12","116","53","0.9847715736040608","0.8465116279069768","0.9219695580414452","0.8361170977011494","0.05593366595201713","0.8047337278106509","0.34986228055732194","0.8091603053435115","0.30667427953729776","0.8153846153846154","0.803030303030303","0.803030303030303","0.90625","0.20525874197483063","0.8573047107930829"
"light-sweep-21","","finished","-","","","2024-05-02T12:47:33.000Z","41","uncertainty_aware_fusion_stats","1024","0.9","0.999","","","0.4886014578622704","0.8811368627440624","512","no","32","0.04696835878517764","no","","0","0.259212523900994","0.01","20","233","30","SGD","18","32","428","SMOTEN","","step","327","13","0.05","no","66.22989673611967","","yes","no","0.0001","0.09469344589194607","0.07316177927386698","0.06349206349206349","0.8939393939393939","0.864406779661017","0.9365079365079364","0.7846153846153846","0.8848167539267016","0.9356532356532355","0.8697958808490482","14","8","118","51","0.9695431472081218","0.8604651162790697","0.9291215844489272","0.8507751937984496","0.06458206065865452","0.8214285714285714","0.3437798078670058","0.8225806451612904","0.33004935017697096","0.864406779661017","0.7846153846153846","0.7846153846153846","0.9365079365079364","0.23515966534614563","0.8791730868002054"
