Model,vs_Tan_MAE,vs_Tan_r,vs_Tan_κ,vs_Tan_AAUC,vs_Tan_WD,vs_Chien_MAE,vs_Chien_r,vs_Chien_κ,vs_Chien_AAUC,vs_Chien_WD,vs_Consensus_MAE,vs_Consensus_r,vs_Consensus_κ,vs_Consensus_AAUC,vs_Consensus_WD,Human_MAE,Human_r,Human_κ,Human_AAUC,Human_WD
deepseek-r1,0.6566037735849057,0.32648680675191505,0.1765820386510042,0.5385576923076922,0.4679245283018868,1.0377358490566035,0.28998456865170275,0.10561842366488006,0.4873076923076923,0.7622641509433961,0.7396226415094339,0.35645265506976964,0.21853607161664035,0.538076923076923,0.5056603773584906,0.7547169811320755,0.4135734626821634,0.36356107660455494,0.7727012016927982,0.4150943396226415
gemini3Dallen,0.6226415094339622,0.41922624811930376,0.3622141997593261,0.6631504524886878,0.4339622641509434,0.8339622641509432,0.396212405455512,0.32959884351282986,0.6757824283559578,0.4641509433962264,0.6528301886792451,0.4752492843206404,0.43227802904070467,0.6908465309200603,0.4075471698113208,0.7547169811320755,0.4135734626821634,0.36356107660455494,0.7727012016927982,0.4150943396226415
Gemini3,0.649056603773585,0.35151129602584413,0.2627996448653448,0.6085858585858587,0.4075471698113208,0.8415094339622642,0.3583381706573928,0.3062578447193832,0.6545093795093795,0.44905660377358486,0.6754716981132075,0.4176974555351635,0.39971684756960835,0.6538239538239539,0.38113207547169814,0.7547169811320755,0.4135734626821634,0.36356107660455494,0.7727012016927982,0.4150943396226415
qwen,0.7216756513926325,0.30020133847248354,0.3331336129418814,0.5805296756383714,0.35435010482180285,0.969010182689428,0.23323606617073903,0.23431994362226927,0.6101708074534161,0.4548442647499251,0.7661799940101827,0.30318965938949444,0.36260494667574306,0.6048567977915804,0.2828316861335729,0.7547169811320755,0.4135734626821634,0.36356107660455494,0.7727012016927982,0.4150943396226415
