n_features,exact,within1,mae,kappa,n_samples
1,0.6037735849056604,0.9433962264150944,0.4528301886792453,0.5624656026417171,53
2,0.6226415094339622,0.9433962264150944,0.4339622641509434,0.5964820162772382,53
3,0.660377358490566,0.9433962264150944,0.39622641509433965,0.6274407706326477,53
4,0.6226415094339622,0.9622641509433962,0.41509433962264153,0.6390780513357779,53
