n_features,exact,within1,mae,kappa,n_samples
1,0.4339622641509434,0.8867924528301887,0.6792452830188679,0.4594135146621333,53
2,0.6226415094339622,0.9433962264150944,0.4339622641509434,0.6211486319940842,53
3,0.5471698113207547,0.9433962264150944,0.5094339622641509,0.5737265415549597,53
4,0.4528301886792453,0.9245283018867925,0.6226415094339622,0.5154960981047938,53
